E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.6714	32	e-	EventGenerator	0.065595
	1.4348	32	-1	EventGenerator/
9.6354	33	e-	EventGenerator	0.065144
9.6354	33	gamma	eBrem	-1e+06
	1.6781	33	-1	EventGenerator/eBrem/
9.4528	34	e-	EventGenerator	0.067443
9.4528	34	gamma	eBrem	-1e+06
	3.5092	34	-1	EventGenerator/eBrem/
9.6498	35	e-	EventGenerator	0.065677
9.6498	35	gamma	eBrem	-1e+06
9.6498	35	e-	phot	-1e+06
	2.3079	35	-1	EventGenerator/eBrem/phot/
9.6816	36	e-	EventGenerator	0.065612
9.6816	36	gamma	eBrem	-1e+06
9.6816	36	gamma	eBrem	-1e+06
9.6816	36	gamma	eBrem	-1e+06
9.6816	36	e-	phot	-1e+06
	3.5211	36	-1	EventGenerator/eBrem/eBrem/eBrem/phot/
9.3777	37	e-	EventGenerator	0.066408
9.3777	37	gamma	eBrem	-1e+06
9.3777	37	gamma	eBrem	-1e+06
	3.1589	37	-1	EventGenerator/eBrem/eBrem/
9.5794	38	e-	EventGenerator	0.065148
	1.3393	38	-1	EventGenerator/
9.4432	39	e-	EventGenerator	0.065341
9.4432	39	gamma	eBrem	-1e+06
9.4432	39	gamma	eBrem	-1e+06
	1.4629	39	-1	EventGenerator/eBrem/eBrem/
9.5685	40	e-	EventGenerator	0.065285
9.5685	40	gamma	eBrem	-1e+06
9.5685	40	e-	phot	-1e+06
	1.8881	40	-1	EventGenerator/eBrem/phot/
9.5626	41	e-	EventGenerator	0.06535
9.5626	41	gamma	eBrem	-1e+06
	1.2777	41	-1	EventGenerator/eBrem/
9.6631	42	e-	EventGenerator	0.065158
9.6631	42	gamma	eBrem	-1e+06
9.6631	42	gamma	eBrem	-1e+06
	1.4336	42	-1	EventGenerator/eBrem/eBrem/
9.6169	43	e-	EventGenerator	0.065132
9.6169	43	e-	eIoni	-1e+06
	8.3053	43	-1	EventGenerator/eIoni/
9.3665	44	e-	EventGenerator	0.065346
0.061294	44	gamma	eBrem	0.065707
0.061294	44	e-	phot	-1e+06
	1.7045	44	-1	EventGenerator/eBrem/phot/
9.6446	45	e-	EventGenerator	0.065715
	1.4672	45	-1	EventGenerator/
9.6803	46	e-	EventGenerator	0.065268
9.6803	46	gamma	eBrem	-1e+06
9.6803	46	gamma	eBrem	-1e+06
	3.1571	46	-1	EventGenerator/eBrem/eBrem/
9.5484	47	e-	EventGenerator	0.065637
9.5484	47	gamma	eBrem	-1e+06
	5.5912	47	-1	EventGenerator/eBrem/
9.6447	48	e-	EventGenerator	0.065335
9.6447	48	gamma	eBrem	-1e+06
1.4157	48	gamma	eBrem	0.068806
1.4157	48	gamma	eBrem	-1e+06
0.1198	48	gamma	eBrem	0.073165
0.1198	48	e-	phot	-1e+06
	5.3041	48	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/phot/
9.6442	49	e-	EventGenerator	0.065126
9.6442	49	gamma	eBrem	-1e+06
9.6442	49	gamma	eBrem	-1e+06
9.6442	49	gamma	eBrem	-1e+06
9.6442	49	e-	phot	-1e+06
9.6442	49	e-	phot	-1e+06
	2.028	49	-1	EventGenerator/eBrem/eBrem/eBrem/phot/phot/
9.619	50	e-	EventGenerator	0.065761
9.619	50	gamma	eBrem	-1e+06
	1.5526	50	-1	EventGenerator/eBrem/
6.5984	51	e-	EventGenerator	0.066199
2.9672	51	gamma	eBrem	0.065842
2.9672	51	gamma	eBrem	-1e+06
2.9672	51	gamma	eBrem	-1e+06
2.9672	51	gamma	eBrem	-1e+06
2.9672	51	gamma	eBrem	-1e+06
2.9672	51	e-	phot	-1e+06
2.9672	51	e-	phot	-1e+06
2.9672	51	e-	phot	-1e+06
	3.6874	51	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/eBrem/phot/phot/phot/
9.6505	52	e-	EventGenerator	0.065358
9.6505	52	gamma	eBrem	-1e+06
9.6505	52	gamma	eBrem	-1e+06
9.6505	52	gamma	eBrem	-1e+06
9.6505	52	e-	eIoni	-1e+06
9.6505	52	e-	phot	-1e+06
9.6505	52	e-	phot	-1e+06
	1.8061	52	-1	EventGenerator/eBrem/eBrem/eBrem/eIoni/phot/phot/
9.5628	53	e-	EventGenerator	0.065134
9.5628	53	gamma	eBrem	-1e+06
9.5628	53	e-	phot	-1e+06
	5.9135	53	-1	EventGenerator/eBrem/phot/
9.7104	54	e-	EventGenerator	0.065146
	1.1756	54	-1	EventGenerator/
9.6431	55	e-	EventGenerator	0.0652
	2.6966	55	-1	EventGenerator/
9.7104	56	e-	EventGenerator	0.065154
9.7104	56	gamma	eBrem	-1e+06
	3.5993	56	-1	EventGenerator/eBrem/
9.6179	57	e-	EventGenerator	0.065157
	1.3142	57	-1	EventGenerator/
9.6367	59	e-	EventGenerator	0.06516
9.6367	59	gamma	eBrem	-1e+06
9.6367	59	gamma	eBrem	-1e+06
9.6367	59	gamma	eBrem	-1e+06
9.6367	59	gamma	eBrem	-1e+06
9.6367	59	e-	compt	-1e+06
9.6367	59	e-	phot	-1e+06
9.6367	59	e-	phot	-1e+06
9.6367	59	e-	phot	-1e+06
	3.1628	59	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/compt/phot/phot/phot/
9.5903	60	e-	EventGenerator	0.065887
9.5903	60	gamma	eBrem	-1e+06
9.5903	60	gamma	eBrem	-1e+06
	1.7217	60	-1	EventGenerator/eBrem/eBrem/
8.0278	61	e-	EventGenerator	0.065563
1.6197	61	gamma	eBrem	0.065238
	1.8185	61	-1	EventGenerator/eBrem/
9.6434	62	e-	EventGenerator	0.065653
9.6434	62	gamma	eBrem	-1e+06
9.6434	62	gamma	eBrem	-1e+06
9.6434	62	e-	phot	-1e+06
	4.7366	62	-1	EventGenerator/eBrem/eBrem/phot/
9.375	63	e-	EventGenerator	0.065205
9.375	63	gamma	eBrem	-1e+06
9.375	63	gamma	eBrem	-1e+06
9.375	63	gamma	eBrem	-1e+06
	1.8357	63	-1	EventGenerator/eBrem/eBrem/eBrem/
9.4968	64	e-	EventGenerator	0.065163
9.4968	64	gamma	eBrem	-1e+06
9.4968	64	gamma	eBrem	-1e+06
9.4968	64	e-	phot	-1e+06
9.4968	64	e-	phot	-1e+06
	4.3471	64	-1	EventGenerator/eBrem/eBrem/phot/phot/
9.6471	65	e-	EventGenerator	0.065507
0.3172	65	gamma	eBrem	0.076568
0.3172	65	e-	phot	-1e+06
	3.0381	65	-1	EventGenerator/eBrem/phot/
9.5831	66	e-	EventGenerator	0.065944
9.5831	66	gamma	eBrem	-1e+06
	3.1214	66	-1	EventGenerator/eBrem/
9.5976	67	e-	EventGenerator	0.069515
	0.94966	67	-1	EventGenerator/
9.6093	68	e-	EventGenerator	0.06554
9.6093	68	gamma	eBrem	-1e+06
9.6093	68	gamma	eBrem	-1e+06
9.6093	68	e-	phot	-1e+06
	1.6857	68	-1	EventGenerator/eBrem/eBrem/phot/
9.5875	69	e-	EventGenerator	0.065579
	1.3303	69	-1	EventGenerator/
9.667	70	e-	EventGenerator	0.065733
	1.5788	70	-1	EventGenerator/
9.6239	71	e-	EventGenerator	0.06529
9.6239	71	e-	eIoni	-1e+06
	3.4414	71	-1	EventGenerator/eIoni/
8.5651	72	e-	EventGenerator	0.065487
1.0945	72	gamma	eBrem	0.066095
	1.4658	72	-1	EventGenerator/eBrem/
6.7231	73	e-	EventGenerator	0.067203
1.9702	73	e-	eIoni	0.065935
1.9702	73	gamma	eBrem	-1e+06
1.9702	73	e-	phot	-1e+06
	4.8159	73	-1	EventGenerator/eIoni/eBrem/phot/
9.6587	74	e-	EventGenerator	0.065386
	1.3623	74	-1	EventGenerator/
9.6866	75	e-	EventGenerator	0.065183
9.6866	75	gamma	eBrem	-1e+06
9.6866	75	gamma	eBrem	-1e+06
9.6866	75	gamma	eBrem	-1e+06
9.6866	75	gamma	eBrem	-1e+06
9.6866	75	e-	phot	-1e+06
9.6866	75	e-	phot	-1e+06
	5.1932	75	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/phot/phot/
9.6168	76	e-	EventGenerator	0.065525
9.6168	76	gamma	eBrem	-1e+06
9.6168	76	gamma	eBrem	-1e+06
9.6168	76	gamma	eBrem	-1e+06
9.6168	76	e-	phot	-1e+06
	2.8769	76	-1	EventGenerator/eBrem/eBrem/eBrem/phot/
9.6059	77	e-	EventGenerator	0.065429
9.6059	77	gamma	eBrem	-1e+06
0.99603	77	e-	eIoni	0.070407
0.99603	77	gamma	eBrem	-1e+06
0.99603	77	gamma	eBrem	-1e+06
0.99603	77	e-	phot	-1e+06
	5.3235	77	-1	EventGenerator/eBrem/eIoni/eBrem/eBrem/phot/
9.5943	78	e-	EventGenerator	0.065189
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	gamma	eBrem	-1e+06
9.5943	78	e-	phot	-1e+06
	3.0477	78	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/eBrem/eBrem/phot/
9.6626	79	e-	EventGenerator	0.065471
9.6626	79	gamma	eBrem	-1e+06
	1.1071	79	-1	EventGenerator/eBrem/
9.6594	80	e-	EventGenerator	0.065413
	1.059	80	-1	EventGenerator/
9.5772	81	e-	EventGenerator	0.066346
9.5772	81	gamma	eBrem	-1e+06
9.5772	81	gamma	eBrem	-1e+06
9.5772	81	gamma	eBrem	-1e+06
9.5772	81	gamma	eBrem	-1e+06
9.5772	81	gamma	eBrem	-1e+06
9.5772	81	e-	phot	-1e+06
	4.2681	81	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/eBrem/phot/
9.5387	82	e-	EventGenerator	0.065415
9.5387	82	gamma	eBrem	-1e+06
9.5387	82	gamma	eBrem	-1e+06
9.5387	82	gamma	eBrem	-1e+06
9.5387	82	gamma	eBrem	-1e+06
9.5387	82	e-	phot	-1e+06
	1.3164	82	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/phot/
9.6437	83	e-	EventGenerator	0.06529
	1.326	83	-1	EventGenerator/
9.6326	84	e-	EventGenerator	0.065315
9.6326	84	gamma	eBrem	-1e+06
	1.5205	84	-1	EventGenerator/eBrem/
9.6559	85	e-	EventGenerator	0.065249
9.6559	85	gamma	eBrem	-1e+06
9.6559	85	gamma	eBrem	-1e+06
9.6559	85	gamma	eBrem	-1e+06
	1.1309	85	-1	EventGenerator/eBrem/eBrem/eBrem/
9.6403	86	e-	EventGenerator	0.065506
9.6403	86	gamma	eBrem	-1e+06
9.6403	86	gamma	eBrem	-1e+06
9.6403	86	gamma	eBrem	-1e+06
	2.5616	86	-1	EventGenerator/eBrem/eBrem/eBrem/
9.626	87	e-	EventGenerator	0.06594
9.626	87	gamma	eBrem	-1e+06
	1.3822	87	-1	EventGenerator/eBrem/
9.6864	88	e-	EventGenerator	0.06524
9.6864	88	gamma	eBrem	-1e+06
9.6864	88	gamma	eBrem	-1e+06
9.6864	88	gamma	eBrem	-1e+06
	1.3148	88	-1	EventGenerator/eBrem/eBrem/eBrem/
9.6334	89	e-	EventGenerator	0.065258
9.6334	89	gamma	eBrem	-1e+06
9.6334	89	gamma	eBrem	-1e+06
9.6334	89	e-	phot	-1e+06
	1.9533	89	-1	EventGenerator/eBrem/eBrem/phot/
9.6416	90	e-	EventGenerator	0.065217
9.6416	90	gamma	eBrem	-1e+06
9.6416	90	gamma	eBrem	-1e+06
9.6416	90	e-	phot	-1e+06
	2.31	90	-1	EventGenerator/eBrem/eBrem/phot/
9.6695	91	e-	EventGenerator	0.065404
	1.3599	91	-1	EventGenerator/
9.5461	92	e-	EventGenerator	0.065981
9.5461	92	gamma	eBrem	-1e+06
